q,index,sigma
211,195,0.026809735779584475
211,196,0.026809735779584475
211,197,0.026809735779584464
211,198,0.026809735779584464
211,199,0.02680973577958446
211,200,0.02680973577958446
211,201,0.026809735779584457
211,202,0.02680973577958445
211,203,0.026809735779584436
211,204,0.026809735779584412
211,205,0.026809735779584412
211,206,0.026809735779584384
211,207,0.026809735779584374
211,208,0.02680973577958432
211,209,0.026809735779584273
211,210,0.026809735779584235
